unibo.rivista-statistica;Statistica
fupress.ds;Diciottesimo Secolo. Rivista della Società Italiana di Studi sul Secolo XVIII
fupress.fa;Firenze Architettura
fupress.oi;Opus Incertum
unimi.gilgames;GILGAMEŠ
unimi.groundbreaking;Ground Breaking
unimi.LCdM;Lingue e culture dei media
unimi.schermi;SCHERMI. STORIE E CULTURE DEL CINEMA E DEI MEDIA IN ITALIA
unimi.SED;Società e diritti
unina.politics;Politics Rivista di Studi Politici
unina.schola;Schola Salernitana Annali
unina.upland;UPLanD
unirc.archistor;ArcHistoR
unimi.BEO;Bisanzio e l'Occidente
unimi.CRIANDO;La rivista di CRIAR
unimi.SSMD;STUDI DI STORIA MEDIOEVALE E DI DIPLOMATICA - NUOVA SERIE
unimi.lessicodelcomico;Lessico del Comico
unibo.cinergie;CINERGIE Il Cinema e le altre Arti
unibo.cpcl;The European Journal of Creative Practices in Cities and Landscapes (CPCL) 
unibo.maes;I quaderni del m.ae.s.
unibo.zmj;ZoneModa Journal (ZMJ)
unina.funes;Funes
unina.sefer;Sefer Yuhasin
unina.sigma;SigMa Rivista di Letterature comparate, Teatro e Arti dello spettacolo
